accredited_individual_registration_number,power_of_attorney_holder_type,user_account_email
VSO123,veteran_service_organization,vso1@va.gov
VSO456,veteran_service_organization,vso2@va.gov
VSO789,veteran_service_organization,attorney1@lawfirm.com
VSO987,veteran_service_organization,claimant1@va.gov
VSO654,veteran_service_organization,vso3@va.gov
VSO321,veteran_service_organization,attorney2@lawfirm.com
VSO111,veteran_service_organization,vso4@va.gov
VSO222,veteran_service_organization,attorney3@lawfirm.com
VSO333,veteran_service_organization,claimant2@va.gov
VSO444,veteran_service_organization,vso5@va.gov
VSO555,veteran_service_organization,vso6@va.gov
VSO666,veteran_service_organization,vso7@va.gov
VSO777,veteran_service_organization,attorney4@lawfirm.com
VSO888,veteran_service_organization,claimant3@va.gov
VSO999,veteran_service_organization,vso8@va.gov
VSO112,veteran_service_organization,vso9@va.gov
VSO114,veteran_service_organization,vso10@va.gov
VSO115,veteran_service_organization,claimant4@va.gov
VSO116,veteran_service_organization,vso11@va.gov
VSO117,veteran_service_organization,attorney5@lawfirm.com
